                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.362,                 2.4408,                 1.2192,                0.29888,                0.30971,                0.25111,                 0.1425,                 1.3805,                 2.5755,                 1.2833,             0.00030011,             0.00030011,             0.00030011
                      2,                 1.2781,                 1.4293,                 1.1639,                 0.4657,                0.51882,                  0.415,                0.25466,                 1.3056,                 2.1409,                  1.241,             0.00059714,             0.00059714,             0.00059714
                      3,                 1.2859,                 1.3108,                 1.1729,                0.45734,                0.56002,                0.45207,                0.26767,                 1.2927,                 2.1149,                  1.233,             0.00088817,             0.00088817,             0.00088817
                      4,                 1.2569,                 1.2218,                 1.1555,                0.47874,                0.53686,                0.46885,                0.29722,                 1.3151,                 2.0473,                 1.2609,               0.000882,               0.000882,               0.000882
                      5,                 1.2382,                 1.1369,                 1.1405,                0.40511,                0.56438,                0.44122,                0.27301,                 1.3498,                 2.0677,                 1.2467,               0.000882,               0.000882,               0.000882
                      6,                 1.2294,                 1.0797,                 1.1374,                0.48379,                0.65148,                0.49444,                0.31249,                 1.2874,                 2.0845,                 1.2312,               0.000873,               0.000873,               0.000873
                      7,                 1.2101,                 1.0312,                 1.1259,                0.53081,                0.69452,                0.59003,                0.38634,                 1.2581,                 1.8704,                 1.2116,               0.000864,               0.000864,               0.000864
                      8,                 1.1947,                0.99166,                 1.1229,                 0.5458,                0.60001,                0.55838,                0.35501,                  1.249,                 1.7526,                 1.2004,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.1842,                0.95981,                 1.1142,                0.59745,                0.66359,                0.60549,                0.39472,                 1.2563,                  1.756,                 1.2107,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.1768,                0.93377,                 1.1149,                0.53183,                0.71962,                0.61533,                0.40791,                 1.2301,                 1.6925,                 1.2052,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.1751,                0.93788,                 1.1183,                0.61621,                0.70579,                0.63708,                0.42689,                 1.2029,                 1.6422,                 1.1634,             0.00082801,             0.00082801,             0.00082801
                     12,                   1.17,                0.88158,                  1.102,                0.62167,                0.73094,                0.64817,                0.44387,                 1.1954,                 1.5673,                 1.1546,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.1692,                0.88761,                  1.109,                0.60534,                0.75959,                0.67449,                0.46025,                 1.1723,                 1.5471,                 1.1537,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.1507,                0.85836,                  1.099,                0.61735,                0.78661,                0.67434,                0.46688,                 1.1869,                 1.6248,                 1.1498,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.1432,                0.83942,                 1.0942,                0.65106,                0.69472,                0.65621,                0.45372,                 1.1772,                 1.4943,                 1.1437,             0.00079201,             0.00079201,             0.00079201
                     16,                  1.144,                0.84284,                   1.09,                 0.6008,                 0.6819,                 0.6356,                0.42667,                 1.2047,                 1.6302,                 1.1526,             0.00078301,             0.00078301,             0.00078301
